Line	Source	BiGG	MNXM	Stuff	
12: bigg.metabolite:	oh1	MNXM02	Hydroxideion
267431: bigg.metabolite:	ttdcea	MNXM1107981	Tetradecenoate(n-C14:1)
267530: bigg.metabolite:	fuc1p__L	MNXM1107990	L-Fucose1-phosphate
267581: bigg.metabolite:	3hcinnm	MNXM1107995	3-hydroxycinnamicacid
267626: bigg.metabolite:	lpchol_hs	MNXM1108001	Lysophosphatidylcholine(homosapiens)
267641: bigg.metabolite:	focytC	MNXM1108006	FerrocytochromeC
267697: bigg.metabolite:	nicrnt	MNXM1108016	NicotinateD-ribonucleotide
267733: bigg.metabolite:	h2	MNXM1108018	Hydrogen
267871: bigg.metabolite:	ps_hs	MNXM1108034	Phosphatidylserine(homosapiens)
267971: bigg.metabolite:	rib__D	MNXM1108051	D-Ribose
267992: bigg.metabolite:	M02155	MNXM1108052	HyodesoxycholicAcid
268024: bigg.metabolite:	dhptd	MNXM1108056	4,5-dihydroxy-2,3-pentanedione
268109: bigg.metabolite:	dhdascb	MNXM1108062	Dehydroascorbate
268171: bigg.metabolite:	lnlc	MNXM1108069	Linoleicacid(allcisC18:2)n-6
268172: bigg.metabolite:	ocdcya	MNXM1108069	OctadecadienoatenC182
268215: bigg.metabolite:	lneldc	MNXM1108070	Linoelaidicacid(alltransC18:2)
268254: bigg.metabolite:	13dpg	MNXM1108073	3-Phospho-D-glyceroylphosphate
268390: bigg.metabolite:	etoh	MNXM1108092	Ethanol
268661: bigg.metabolite:	ppp9	MNXM1108136	Protoporphyrin
268693: bigg.metabolite:	2dr1p	MNXM1108138	2-Deoxy-D-ribose1-phosphate
268949: bigg.metabolite:	gal	MNXM1108175	D-Galactose
269066: bigg.metabolite:	adrn	MNXM1108185	Adrenicacid
269226: bigg.metabolite:	asp__L	MNXM1108206	L-Aspartate
269545: bigg.metabolite:	CE2020	MNXM1108247	N-arachidonoylglycinate
269676: bigg.metabolite:	HC02202	MNXM1108266	ProstaglandinA1(1-)
269699: bigg.metabolite:	HC02206	MNXM1108268	ProstaglandinC1(1-)
269829: bigg.metabolite:	3sala	MNXM1108289	3-Sulfino-L-alanine
269886: bigg.metabolite:	urcan	MNXM1108291	Urocanate
269962: bigg.metabolite:	lnlnca	MNXM1108303	Alpha-Linolenicacid,C18:3,n-3
270065: bigg.metabolite:	lst4exp	MNXM1108319	Losartan-E3174/losartan-M6
270194: bigg.metabolite:	raffin	MNXM1108339	Raffinose
270351: bigg.metabolite:	M00241	MNXM1108363	1,2-Diacylglycerol-VLDL-Pool
270430: bigg.metabolite:	lstn	MNXM1108372	Losartan
270444: bigg.metabolite:	CE0737	MNXM1108373	Malonicdialdehyde
270527: bigg.metabolite:	C14825	MNXM1108384	9(10)-EpOME
270541: bigg.metabolite:	dhcrm_hs	MNXM1108385	Dihydroceramide(homosapiens)
270610: bigg.metabolite:	nrvnc	MNXM1108399	Nervonicacid
271149: bigg.metabolite:	M00010	MNXM1108488	11Z,14Z,17Z-EicosatrienoicAcid
271326: bigg.metabolite:	q10h2	MNXM1108515	Ubiquinol-10
271411: bigg.metabolite:	adphep_LD	MNXM1108522	ADP-L-glycero-D-manno-heptose
271424: bigg.metabolite:	M01989	MNXM1108523	GlycodeoxycholicAcid
271556: bigg.metabolite:	L2aadp6sa	MNXM1108542	L2Aminoadipate6semialdehyde
271627: bigg.metabolite:	5forthf	MNXM1108549	5-Formiminotetrahydrofolate
271704: bigg.metabolite:	M00021	MNXM1108558	13Z,16Z-DocosadienoicAcid
272874: bigg.metabolite:	ergtetrol	MNXM1109	Ergosta57222428tetraen3betaol
280078: bigg.metabolite:	citalo	MNXM11122	CitalopramN-oxide
280232: bigg.metabolite:	citalppa	MNXM11123	Citaloprampropionicacid
282268: bigg.metabolite:	kynate	MNXM1113	4-Hydroxy-2-quinolinecarboxylicacid
290007: bigg.metabolite:	core_lps_hp	MNXM11157	Corelpshp
302343: bigg.metabolite:	gal_bD	MNXM112	BetaD-Galactose
307337: bigg.metabolite:	allphn	MNXM1122	Allophanate
321184: bigg.metabolite:	1acpc	MNXM1128	1-Aminocyclopropane-1-carboxylate
324406: bigg.metabolite:	tag1p__D	MNXM11293	D-Tagatose-1-phosphate
326273: bigg.metabolite:	n2m2mn	MNXM11301	De-Fuc,reducingGlcNAcremoved,de-Sia,de-GalformofPA6(w/opeptidelinkage)
327870: bigg.metabolite:	decdpr_tb	MNXM11307	Decaprenylphosphoryl-beta-D-5-phosphoribose
329849: bigg.metabolite:	dedoldp_U	MNXM11315	Dehydrodolicholdiphosphate,humanuterinehomolog
330842: bigg.metabolite:	dedol_U	MNXM11319	Dehydrodolichol,humanuterinehomolog
333653: bigg.metabolite:	dmantipyrine	MNXM11331	Dmantipyrinec
335713: bigg.metabolite:	CCbuttc	MNXM1134	Cis,cis-Butadiene-1,2,4-tricarboxylate
337534: bigg.metabolite:	Ac2PIM2	MNXM11348	Di-acylphosphatidylinositolmannosidedi-mannose(tuberculosis)
338765: bigg.metabolite:	dagpy_SC	MNXM11354	Diacylglycerolpyrophosphate(yeastspecific)
342740: bigg.metabolite:	5hiu	MNXM1137	5-Hydroxyisourate
342741: bigg.metabolite:	C11821	MNXM1137	5-Hydroxyisourate
344727: bigg.metabolite:	pro__L	MNXM114	L-Proline
344782: bigg.metabolite:	dann	MNXM1140	7,8-Diaminononanoate
344920: bigg.metabolite:	dsT_antigen	MNXM11408	DsTantigen
344949: bigg.metabolite:	2aobut	MNXM114087	L-2-Amino-3-oxobutanoate
344986: bigg.metabolite:	djenk	MNXM11409	Djenkolate
345071: bigg.metabolite:	CE5747	MNXM114152	N-retinylidene-N-retinylethanolamine
345161: bigg.metabolite:	dhnpthld	MNXM114239	1,2-Dihydronaphthalene-1,2-diol
345227: bigg.metabolite:	dcsptn1	MNXM11427	Docosa-4,7,10,13,16-pentaenoicacid(n-6)
345280: bigg.metabolite:	docosdiac	MNXM11428	Docosanedioicacid
345296: bigg.metabolite:	2dhguln	MNXM114283	2-Dehydro-L-gulonate
345302: bigg.metabolite:	2ood	MNXM114285	2-oxooctanedioicacid
345401: bigg.metabolite:	ddcal	MNXM11432	Dodecanal
345441: bigg.metabolite:	ohepa	MNXM114343	2-oxoheptanedioicacid
345452: bigg.metabolite:	 brfap	MNXM114345	4-(B-D-ribofuranosyl)aminobenzene5'-phosphate
345458: bigg.metabolite:	oca	MNXM114347	4-oxalcitromalate
345464: bigg.metabolite:	omaketo	MNXM114348	4-oxalomesaconate(ketoform)
345470: bigg.metabolite:	dhp23cp	MNXM114350	7,8-dihydronepterin2':3'-cyclicphosphate
345495: bigg.metabolite:	hsfd	MNXM114363	Heterodisulfide
345508: bigg.metabolite:	ttc	MNXM114383	TetracosanoatenC240
345703: bigg.metabolite:	2h34hppr	MNXM114441	2-Hydroxy-3-(4-hydroxyphenyl)propenoate
346025: bigg.metabolite:	C06350	MNXM114536	(R,S)-Norlaudanosoline
346768: bigg.metabolite:	etfox	MNXM11479	Electrontransferflavoproteinoxidized
346800: bigg.metabolite:	orn__D	MNXM1148	D-Ornithine
346818: bigg.metabolite:	etfrd	MNXM11480	Electrontransferflavoproteinreduced
347281: bigg.metabolite:	eca_EC	MNXM11492	Enterobacterialcommonantigenpolysaccharide(Ecoli)
347571: bigg.metabolite:	pe_hs	MNXM115	Phosphatidylethanolamine(homosapiens)
348217: bigg.metabolite:	sucorn	MNXM1152	N2-Succinyl-L-ornithine
348238: bigg.metabolite:	doco13ac	MNXM11520	13Z)-13-docosenoicacid
348652: bigg.metabolite:	aprut	MNXM1153	NAcetylputrescine
349331: bigg.metabolite:	ficytb	MNXM11551	Ferricytochromeb
349700: bigg.metabolite:	6mpur	MNXM1156	6-Mercaptopurine
350027: bigg.metabolite:	slnt	MNXM1157	Selenite
351293: bigg.metabolite:	frulysp	MNXM11605	FructoselysinePhosphate
351640: bigg.metabolite:	galgalthcrm_hs	MNXM11615	Gal-Gal-Gal-Gal-Glc-Cer(homosapiens)
351678: bigg.metabolite:	galthcrm_hs	MNXM11616	Gal-Gal-Gal-Glc-Cer(homosapiens)
351755: bigg.metabolite:	lxser	MNXM11618	Gal-Xyl-L-Ser(protein)
352143: bigg.metabolite:	HC01577	MNXM11629	Gamma-Glutamyl-beta-cyanoalanine
352660: bigg.metabolite:	gd1alpha_hs	MNXM11644	GD1a(homosapiens)
352717: bigg.metabolite:	gd2_hs	MNXM11646	GD2(homosapiens)
353534: bigg.metabolite:	C13856	MNXM1167	2-Arachidonoylglycerol
353851: bigg.metabolite:	acglcgalgbside_hs	MNXM11679	GlcNAc-Galgloboside(homosapiens)
353890: bigg.metabolite:	2mecdp	MNXM1168	2-C-methyl-D-erythritol2,4-cyclodiphosphate
354076: bigg.metabolite:	2m3hvac	MNXM116857	2-Methyl-3-Hydroxy-Valerate
354387: bigg.metabolite:	glcp_SA	MNXM11696	GlucosylPhosphoglycerol(SA)
354554: bigg.metabolite:	urea	MNXM117	Urea
354600: bigg.metabolite:	3dhgulnp	MNXM1170	3-keto-L-gulonate-6-phosphate
354826: bigg.metabolite:	gtca2	MNXM11706	Glycerolteichoicacid(n=25),unlinked,D-alasubstituted
354894: bigg.metabolite:	gtca3	MNXM11708	Glycerolteichoicacid(n=25),unlinked,glucosesubstituted
354939: bigg.metabolite:	gtca1	MNXM11710	Glycerolteichoicacid(n=25),unlinked,unsubstituted
355062: bigg.metabolite:	glygn1	MNXM11714	Glycogen,structure1(glycogenin-11[1,4-Glc])
355097: bigg.metabolite:	glygn3	MNXM11715	Glycogen,structure3(glycogenin-7[1,4-Glc])
355134: bigg.metabolite:	glygn4	MNXM11716	Glycogen,structure4(glycogenin-1,6-{2[1,4-Glc],[1,4-Glc]})
355167: bigg.metabolite:	glygn5	MNXM11717	Glycogen,structure5(glycogenin-2[1,4-Glc])
355268: bigg.metabolite:	gpi_prot_hs	MNXM11720	Glycophosphatidylinositol(GPI)-anchoredprotein
355640: bigg.metabolite:	gt1c_hs	MNXM11730	GT1c(homosapiens)
355677: bigg.metabolite:	gt2_hs	MNXM11731	GT2(homosapiens)
356016: bigg.metabolite:	xol7ah2al	MNXM1174	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al
356292: bigg.metabolite:	C09209	MNXM11747	Harman
356538: bigg.metabolite:	hs_deg1	MNXM11753	Heparansulfate,degradationproduct1
356586: bigg.metabolite:	hs_deg10	MNXM11754	Heparansulfate,degradationproduct10
356633: bigg.metabolite:	hs_deg11	MNXM11755	Heparansulfate,degradationproduct11
356666: bigg.metabolite:	hs_deg12	MNXM11756	Heparansulfate,degradationproduct12
356695: bigg.metabolite:	hs_deg13	MNXM11757	Heparansulfate,degradationproduct13
356722: bigg.metabolite:	hs_deg14	MNXM11758	Heparansulfate,degradationproduct14
356755: bigg.metabolite:	hs_deg15	MNXM11759	Heparansulfate,degradationproduct15
356796: bigg.metabolite:	4h2opntn	MNXM1176	4-Hydroxy-2-oxopentanoate
356826: bigg.metabolite:	hs_deg16	MNXM11760	Heparansulfate,degradationproduct16
356860: bigg.metabolite:	hs_deg17	MNXM11761	Heparansulfate,degradationproduct17
356902: bigg.metabolite:	hs_deg18	MNXM11762	Heparansulfate,degradationproduct18
356925: bigg.metabolite:	hs_deg19	MNXM11763	Heparansulfate,degradationproduct19
356958: bigg.metabolite:	hs_deg2	MNXM11764	Heparansulfate,degradationproduct2
356997: bigg.metabolite:	hs_deg20	MNXM11765	Heparansulfate,degradationproduct20
357034: bigg.metabolite:	hs_deg21	MNXM11766	Heparansulfate,degradationproduct21
357067: bigg.metabolite:	hs_deg22	MNXM11767	Heparansulfate,degradationproduct22
357094: bigg.metabolite:	hs_deg23	MNXM11768	Heparansulfate,degradationproduct23
357115: bigg.metabolite:	hs_deg24	MNXM11769	Heparansulfate,degradationproduct24
357155: bigg.metabolite:	4pasp	MNXM1177	4-Phospho-L-aspartate
357179: bigg.metabolite:	hs_deg25	MNXM11770	Heparansulfate,degradationproduct25
357218: bigg.metabolite:	hs_deg3	MNXM11771	Heparansulfate,degradationproduct3
357255: bigg.metabolite:	hs_deg4	MNXM11772	Heparansulfate,degradationproduct4
357296: bigg.metabolite:	hs_deg5	MNXM11773	Heparansulfate,degradationproduct5
357329: bigg.metabolite:	hs_deg6	MNXM11774	Heparansulfate,degradationproduct6
357364: bigg.metabolite:	hs_deg7	MNXM11775	Heparansulfate,degradationproduct7
357391: bigg.metabolite:	hs_deg8	MNXM11776	Heparansulfate,degradationproduct8
357422: bigg.metabolite:	hs_deg9	MNXM11777	Heparansulfate,degradationproduct9
357451: bigg.metabolite:	hs	MNXM11778	Heparansulfate,freechain
357486: bigg.metabolite:	hs_pre1	MNXM11779	Heparansulfate,precursor1
357517: bigg.metabolite:	5aprbu	MNXM1178	5-Amino-6-(5'-phosphoribitylamino)uracil
357536: bigg.metabolite:	hs_pre10	MNXM11780	Heparansulfate,precursor10
357561: bigg.metabolite:	hs_pre11	MNXM11781	Heparansulfate,precursor11
357592: bigg.metabolite:	hs_pre12	MNXM11782	Heparansulfate,precursor12
357626: bigg.metabolite:	hs_pre13	MNXM11783	Heparansulfate,precursor13
357663: bigg.metabolite:	hs_pre14	MNXM11784	Heparansulfate,precursor14
357686: bigg.metabolite:	hs_pre15	MNXM11785	Heparansulfate,precursor15
357719: bigg.metabolite:	hs_pre2	MNXM11786	Heparansulfate,precursor2
357757: bigg.metabolite:	hs_pre3	MNXM11787	Heparansulfate,precursor3
357782: bigg.metabolite:	hs_pre4	MNXM11788	Heparansulfate,precursor4
357805: bigg.metabolite:	hs_pre5	MNXM11789	Heparansulfate,precursor5
357849: bigg.metabolite:	hs_pre6	MNXM11790	Heparansulfate,precursor6
357884: bigg.metabolite:	hs_pre7	MNXM11791	Heparansulfate,precursor7
357917: bigg.metabolite:	hs_pre8	MNXM11792	Heparansulfate,precursor8
357951: bigg.metabolite:	hs_pre9	MNXM11793	Heparansulfate,precursor9
358147: bigg.metabolite:	hacolipa	MNXM11799	Hepta-acylatedcoreoligosaccharidelipidA(E.coli)
358184: bigg.metabolite:	ptrc	MNXM118	Putrescine
358295: bigg.metabolite:	hpdca	MNXM11802	HeptadecanoateC170
358482: bigg.metabolite:	hexdiac	MNXM11807	Hexadecanediocacid
358717: bigg.metabolite:	hexs	MNXM11814	Hexanesulfonate
359344: bigg.metabolite:	C06199	MNXM11832	Hordenine
359411: bigg.metabolite:	ha_deg1	MNXM11834	Hyaluronandegradationproduct1
359607: bigg.metabolite:	ara5p	MNXM1184	D-Arabinose5-phosphate
359723: bigg.metabolite:	htaxol	MNXM11843	Hydroxylatedtaxol
359749: bigg.metabolite:	6bhglz	MNXM118435	6-beta-OH-gliclazide
359939: bigg.metabolite:	galacglcgalacglcgal14acglcgalgluside_hs	MNXM11849	I-antigen
360198: bigg.metabolite:	7bhglz	MNXM118569	7-beta-OH-gliclazide
361107: bigg.metabolite:	ipc124_SC	MNXM11884	Inositolphosphorylceramideceramide124C(yeastspecific)
361127: bigg.metabolite:	ipc126_SC	MNXM11885	Inositolphosphorylceramideceramide126C(yeastspecific)
361158: bigg.metabolite:	ipc224_SC	MNXM11886	Inositolphosphorylceramideceramide224C(yeastspecific)
361185: bigg.metabolite:	ipc226_SC	MNXM11887	Inositolphosphorylceramideceramide226C(yeastspecific)
361208: bigg.metabolite:	ipc324_SC	MNXM11888	Inositolphosphorylceramideceramide324C(yeastspecific)
361237: bigg.metabolite:	ipc326_SC	MNXM11889	Inositolphosphorylceramideceramide326C(yeastspecific)
361267: bigg.metabolite:	ppgpp	MNXM1189	Guanosine3',5'-bis(diphosphate)
361641: bigg.metabolite:	fcmcbtt	MNXM11903	Iron(III)chelatedcarboxymycobactinT(R=8carbon,finalcarboniscarboxylgroup)
361741: bigg.metabolite:	CE5022	MNXM119057	Alpha-tocopherylquinone
362295: bigg.metabolite:	mpt	MNXM1193	Molybdopterin
362717: bigg.metabolite:	kdolipid4_HP	MNXM11941	KDO-lipidIV(A)HP
362889: bigg.metabolite:	ksi_pre1	MNXM11945	KeratansulfateIbiosynthesis,precursor1
362916: bigg.metabolite:	ksi_pre10	MNXM11946	KeratansulfateIbiosynthesis,precursor10
362927: bigg.metabolite:	ksi_pre11	MNXM11947	KeratansulfateIbiosynthesis,precursor11
362950: bigg.metabolite:	ksi_pre12	MNXM11948	KeratansulfateIbiosynthesis,precursor12
362989: bigg.metabolite:	ksi_pre13	MNXM11949	KeratansulfateIbiosynthesis,precursor13
363015: bigg.metabolite:	ksi_pre14	MNXM11950	KeratansulfateIbiosynthesis,precursor14
363036: bigg.metabolite:	ksi_pre15	MNXM11951	KeratansulfateIbiosynthesis,precursor15
363077: bigg.metabolite:	ksi_pre16	MNXM11952	KeratansulfateIbiosynthesis,precursor16
363106: bigg.metabolite:	ksi_pre17	MNXM11953	KeratansulfateIbiosynthesis,precursor17
363143: bigg.metabolite:	ksi_pre18	MNXM11954	KeratansulfateIbiosynthesis,precursor18
363178: bigg.metabolite:	ksi_pre19	MNXM11955	KeratansulfateIbiosynthesis,precursor19
363223: bigg.metabolite:	ksi_pre2	MNXM11956	KeratansulfateIbiosynthesis,precursor2
363262: bigg.metabolite:	ksi_pre20	MNXM11957	KeratansulfateIbiosynthesis,precursor20
363281: bigg.metabolite:	ksi_pre21	MNXM11958	KeratansulfateIbiosynthesis,precursor21
363307: bigg.metabolite:	ksi_pre22	MNXM11959	KeratansulfateIbiosynthesis,precursor22
363335: bigg.metabolite:	ksi_pre23	MNXM11960	KeratansulfateIbiosynthesis,precursor23
363367: bigg.metabolite:	ksi_pre24	MNXM11961	KeratansulfateIbiosynthesis,precursor24
363382: bigg.metabolite:	ksi_pre25	MNXM11962	KeratansulfateIbiosynthesis,precursor25
363391: bigg.metabolite:	ksi_pre26	MNXM11963	KeratansulfateIbiosynthesis,precursor26
363410: bigg.metabolite:	ksi_pre27	MNXM11964	KeratansulfateIbiosynthesis,precursor27
363424: bigg.metabolite:	ksi_pre28	MNXM11965	KeratansulfateIbiosynthesis,precursor28
363436: bigg.metabolite:	ksi_pre29	MNXM11966	KeratansulfateIbiosynthesis,precursor29
363453: bigg.metabolite:	ksi_pre3	MNXM11967	KeratansulfateIbiosynthesis,precursor3
363480: bigg.metabolite:	ksi_pre30	MNXM11968	KeratansulfateIbiosynthesis,precursor30
363509: bigg.metabolite:	ksi_pre31	MNXM11969	KeratansulfateIbiosynthesis,precursor31
363515: bigg.metabolite:	prostgi2	MNXM1197	ProstaglandinI2
363545: bigg.metabolite:	ksi_pre32	MNXM11970	KeratansulfateIbiosynthesis,precursor32
363565: bigg.metabolite:	ksi_pre33	MNXM11971	KeratansulfateIbiosynthesis,precursor33
363594: bigg.metabolite:	ksi_pre34	MNXM11972	KeratansulfateIbiosynthesis,precursor34
363631: bigg.metabolite:	ksi_pre35	MNXM11973	KeratansulfateIbiosynthesis,precursor35
363670: bigg.metabolite:	ksi_pre36	MNXM11974	KeratansulfateIbiosynthesis,precursor36
363699: bigg.metabolite:	ksi_pre4	MNXM11975	KeratansulfateIbiosynthesis,precursor4
363732: bigg.metabolite:	ksi_pre5	MNXM11976	KeratansulfateIbiosynthesis,precursor5
363749: bigg.metabolite:	ksi_pre6	MNXM11977	KeratansulfateIbiosynthesis,precursor6
363762: bigg.metabolite:	ksi_pre7	MNXM11978	KeratansulfateIbiosynthesis,precursor7
363790: bigg.metabolite:	ksi_pre8	MNXM11979	KeratansulfateIbiosynthesis,precursor8
363828: bigg.metabolite:	ksi_pre9	MNXM11980	KeratansulfateIbiosynthesis,precursor9
363859: bigg.metabolite:	ksi_deg10	MNXM11981	KeratansulfateI,degradationproduct10
363890: bigg.metabolite:	ksi_deg13	MNXM11982	KeratansulfateI,degradationproduct13
363914: bigg.metabolite:	ksi_deg16	MNXM11983	KeratansulfateI,degradationproduct16
363934: bigg.metabolite:	ksi_deg19	MNXM11984	KeratansulfateI,degradationproduct19
363969: bigg.metabolite:	ksi_deg2	MNXM11985	KeratansulfateI,degradationproduct2
364002: bigg.metabolite:	ksi_deg22	MNXM11986	KeratansulfateI,degradationproduct22
364036: bigg.metabolite:	ksi_deg25	MNXM11987	KeratansulfateI,degradationproduct25
364068: bigg.metabolite:	ksi_deg28	MNXM11988	KeratansulfateI,degradationproduct28
364095: bigg.metabolite:	ksi_deg3	MNXM11989	KeratansulfateI,degradationproduct3
364121: bigg.metabolite:	ksi_deg31	MNXM11990	KeratansulfateI,degradationproduct31
364128: bigg.metabolite:	ksi_deg34	MNXM11991	KeratansulfateI,degradationproduct34
364147: bigg.metabolite:	ksi_deg37	MNXM11992	KeratansulfateI,degradationproduct37
364158: bigg.metabolite:	ksi_deg39	MNXM11993	KeratansulfateI,degradationproduct39
364180: bigg.metabolite:	ksi_deg4	MNXM11994	KeratansulfateI,degradationproduct4
364217: bigg.metabolite:	ksi_deg40	MNXM11995	KeratansulfateI,degradationproduct40
364270: bigg.metabolite:	ksi_deg41	MNXM11996	KeratansulfateI,degradationproduct41
364327: bigg.metabolite:	ksi_deg5	MNXM11997	KeratansulfateI,degradationproduct5
364354: bigg.metabolite:	ksi_deg7	MNXM11998	KeratansulfateI,degradationproduct7
364367: bigg.metabolite:	ksii_core2_deg1	MNXM11999	KeratansulfateII(core2-linked),degradationproduct1
364398: bigg.metabolite:	M00579	MNXM1200	Cholest-5-En-3Beta,20R,22R-Triol
364415: bigg.metabolite:	ksii_core2_deg2	MNXM12000	KeratansulfateII(core2-linked),degradationproduct2
364434: bigg.metabolite:	ksii_core2_deg4	MNXM12001	KeratansulfateII(core2-linked),degradationproduct4
364455: bigg.metabolite:	ksii_core2_deg7	MNXM12002	KeratansulfateII(core2-linked),degradationproduct7
364486: bigg.metabolite:	ksii_core2_deg9	MNXM12003	KeratansulfateII(core2-linked),degradationproduct9
364499: bigg.metabolite:	ksii_core4_deg1	MNXM12004	KeratansulfateII(core4-linked),degradationproduct1
364507: bigg.metabolite:	ksii_core4_deg2	MNXM12005	KeratansulfateII(core4-linked),degradationproduct2
364512: bigg.metabolite:	ksii_core4_deg4	MNXM12006	KeratansulfateII(core4-linked),degradationproduct4
364515: bigg.metabolite:	ksii_core2_pre1	MNXM12007	KeratansulfateIIbiosynthesis,precursor1
364518: bigg.metabolite:	ksii_core4_pre1	MNXM12008	KeratansulfateIIbiosynthesis,precursor1
364533: bigg.metabolite:	ksii_core2_pre10	MNXM12009	KeratansulfateIIbiosynthesis,precursor10
364562: bigg.metabolite:	ksii_core4_pre10	MNXM12010	KeratansulfateIIbiosynthesis,precursor10
364599: bigg.metabolite:	ksii_core2_pre2	MNXM12011	KeratansulfateIIbiosynthesis,precursor2
364622: bigg.metabolite:	ksii_core2_pre3	MNXM12012	KeratansulfateIIbiosynthesis,precursor3
364647: bigg.metabolite:	ksii_core4_pre3	MNXM12013	KeratansulfateIIbiosynthesis,precursor3
364682: bigg.metabolite:	ksii_core2_pre4	MNXM12014	KeratansulfateIIbiosynthesis,precursor4
364716: bigg.metabolite:	ksii_core4_pre4	MNXM12015	KeratansulfateIIbiosynthesis,precursor4
364738: bigg.metabolite:	ksii_core2_pre5	MNXM12016	KeratansulfateIIbiosynthesis,precursor5
364765: bigg.metabolite:	ksii_core4_pre5	MNXM12017	KeratansulfateIIbiosynthesis,precursor5
364786: bigg.metabolite:	ksii_core4_pre6	MNXM12018	KeratansulfateIIbiosynthesis,precursor6
364804: bigg.metabolite:	ksii_core2_pre6	MNXM12019	KeratansulfateIIbiosynthesis,precursor6
364818: bigg.metabolite:	23dhmp	MNXM1202	(R)-2,3-Dihydroxy-3-methylpentanoate
364846: bigg.metabolite:	ksii_core4_pre7	MNXM12020	KeratansulfateIIbiosynthesis,precursor7
364869: bigg.metabolite:	ksii_core2_pre7	MNXM12021	KeratansulfateIIbiosynthesis,precursor7
364892: bigg.metabolite:	ksii_core4_pre8	MNXM12022	KeratansulfateIIbiosynthesis,precursor8
364915: bigg.metabolite:	ksii_core2_pre8	MNXM12023	KeratansulfateIIbiosynthesis,precursor8
364938: bigg.metabolite:	ksii_core4_pre9	MNXM12024	KeratansulfateIIbiosynthesis,precursor9
364961: bigg.metabolite:	ksii_core2_pre9	MNXM12025	KeratansulfateIIbiosynthesis,precursor9
364984: bigg.metabolite:	ksii_core4_pre2	MNXM12026	KeratansulfateIIboisynthesis,precursor2
367964: bigg.metabolite:	sucbz	MNXM1212	O-Succinylbenzoate
368052: bigg.metabolite:	lipidX_HP	MNXM12123	LipidXHP
368238: bigg.metabolite:	C06314	MNXM12129	LipoxinA4(1-)
368722: bigg.metabolite:	mercppyr	MNXM1214	Mercaptopyruvate
369057: bigg.metabolite:	3pop	MNXM1215	3-Phosphonopyruvate
370269: bigg.metabolite:	6p2dhglcn	MNXM1218	6-Phospho-2-dehydro-D-gluconate
370675: bigg.metabolite:	2dda7p	MNXM1219	2-Dehydro-3-deoxy-D-arabino-heptonate7-phosphate
371405: bigg.metabolite:	mipc124_SC	MNXM12208	Mannoseinositolphosphorylceramideceramide124C(yeastspecific)
371448: bigg.metabolite:	mipc126_SC	MNXM12209	Mannoseinositolphosphorylceramideceramide126C(yeastspecific)
371491: bigg.metabolite:	mipc224_SC	MNXM12210	Mannoseinositolphosphorylceramideceramide224C(yeastspecific)
371534: bigg.metabolite:	mipc226_SC	MNXM12211	Mannoseinositolphosphorylceramideceramide226C(yeastspecific)
371577: bigg.metabolite:	mipc324_SC	MNXM12212	Mannoseinositolphosphorylceramideceramide324C(yeastspecific)
371620: bigg.metabolite:	mipc326_SC	MNXM12213	Mannoseinositolphosphorylceramideceramide326C
372060: bigg.metabolite:	mclPHA	MNXM12224	Medium-chainlengthPolyhydroxyalkanoate(Total)
372455: bigg.metabolite:	mql7	MNXM12233	Menaquinol7
372588: bigg.metabolite:	mqn7	MNXM12236	Menaquinone7
372787: bigg.metabolite:	5prdmbz	MNXM1224	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole
373192: bigg.metabolite:	CE2122	MNXM12249	Methylindole-3-acetate
373687: bigg.metabolite:	cysam	MNXM1226	Cysteamine
375247: bigg.metabolite:	hcys__L	MNXM123	L-Homocysteine
375452: bigg.metabolite:	mssg	MNXM12305	Mycothiol(oxidized-dimer)
375602: bigg.metabolite:	frmd	MNXM1231	Formamide
376484: bigg.metabolite:	galt	MNXM1233	Galactitol
376505: bigg.metabolite:	degly	MNXM12330	N,N-Diethylglycine
377557: bigg.metabolite:	acmam	MNXM12354	N-Acetyl-D-muramoate
378697: bigg.metabolite:	xu5p__L	MNXM1238	L-Xylulose5-phosphate
379021: bigg.metabolite:	male	MNXM1239	Maleate
379093: bigg.metabolite:	nabl	MNXM12392	N-epsilon-acetyl-beta-lysine
379317: bigg.metabolite:	spmd	MNXM124	Spermidine
380061: bigg.metabolite:	onpthl	MNXM12425	Naphthaleneepoxide
380224: bigg.metabolite:	Ncbmpts	MNXM1243	N-Carbamoylputrescine
381821: bigg.metabolite:	acglc13galacglcgal14acglcgalgluside_hs	MNXM12472	NLc7Cer
381864: bigg.metabolite:	galacglc13galacglcgal14acglcgalgluside_hs	MNXM12473	NLc8Cer
382179: bigg.metabolite:	C01601	MNXM12480	Nonanoate
382180: bigg.metabolite:	nona	MNXM12480	Nonanoate
382375: bigg.metabolite:	HC00250	MNXM124865	Hydrosulfide
382376: bigg.metabolite:	h2s	MNXM124865	Hydrogensulfide
382933: bigg.metabolite:	omdtria	MNXM12508	Octa-methyldotriacontanoicacid(C32:0with7methylbranches)
383337: bigg.metabolite:	whttdca	MNXM12527	Omegahydroxytetradecanoate(n-C14:0)
383959: bigg.metabolite:	12ppd__S	MNXM1255	(S)-Propane-1,2-diol
384615: bigg.metabolite:	ap4g	MNXM12577	P15adenosylP45guanosyltetraphosphate
