BiGG,MNXM,description
M_dhmptp_c,MNXM738182,Dihydromonapterin-triphosphate
M_forcoa_c,MNXM738242,Formyl-CoA(4-)
M_icolipa_c,MNXM738373,Inner core oligosaccharide lipid A (E coli)
M_bbtcoa_c,MNXM738399,Gamma-butyrobetainyl-CoA
M_fe3hox_c,MNXM738412,Fe(III)hydroxamate
M_n2o_c,MNXM738430,Nitrous oxide
M_kdo2lipid4p_c,MNXM738560,KDO(2)-lipid IV(A) with palmitoleoyl
M_murein5p4p_c,MNXM738657,"Two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)"
M_murein5p3p_c,MNXM738663,"Two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
M_nadph_c,MNXM738702,Nicotinamide adenine dinucleotide phosphate - reduced
M_lipa_cold_c,MNXM738728,Cold adapted KDO(2)-lipid (A)
M_met__L_c,MNXM738804,L-Methionine
M_alltn_c,MNXM738834,Allantoin
M_anhgm4p_c,MNXM739017,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide
M_o16aund_c,MNXM739235,O16 antigen undecaprenyl diphosphate
M_eca3und_c,MNXM739243,(enterobacterial common antigen)x3 undecaprenyl-diphosphate
M_aso3_c,MNXM739275,Arsenite
M_1agpg180_c,MNXM739301,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
M_dscl_c,MNXM739346,Dihydrosirohydrochlorin
M_arg__L_c,MNXM739527,L-Arginine
M_pe161_c,MNXM739592,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)"
M_gmhep7p_c,MNXM739658,D-Glycero-D-manno-heptose 7-phosphate
M_kdo8p_c,MNXM739664,3-Deoxy-D-manno-octulosonate 8-phosphate
M_uaagmda_c,MNXM739668,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala"
M_1agpg181_c,MNXM739929,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
M_g3p_c,MNXM739945,Glyceraldehyde 3-phosphate
M_progly_c,MNXM739962,L-Prolinylglycine
M_pg161_c,MNXM739991,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)"
M_pgp161_c,MNXM739994,"Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)"
M_pgp180_c,MNXM739997,"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)"
M_ps180_c,MNXM740000,"Phosphatidylserine (dioctadecanoyl, n-C18:0)"
M_tcynt_c,MNXM740078,Thiocyanate
M_murein5p5p5p_c,MNXM740231,"Three linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)"
M_rfamp_c,MNXM740424,Rifampin
M_clpn140_c,MNXM740794,"Cardiolipin (tetratetradecanoyl, n-C14:0)"
M_scl_c,MNXM740871,Sirohydrochlorin
M_r15bp_c,MNXM740983,"D-Ribose 1,5-bisphosphate"
M_tungs_c,MNXM741004,Tungstate
M_murein5p5p_c,MNXM741014,"Two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)"
M_murein4p3p_c,MNXM741016,"Two linked disacharide tetrapeptide and tripeptide murein units (uncrosslinked, middle of chain)"
M_murein4p4p_c,MNXM741019,"Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)"
M_murein3p3p_c,MNXM741021,"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)"
M_uLa4fn_c,MNXM741041,Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose
M_3c2hmp_c,MNXM741109,3-Carboxy-2-hydroxy-4-methylpentanoate
M_glu__L_c,MNXM741173,L-Glutamate
M_orn_c,MNXM741175,Ornithine
M_2mcit_c,MNXM741276,2-Methylcitrate
M_23dappa_c,MNXM741395,"2,3-diaminopropionate"
M_seln_c,MNXM741486,Selenide
M_trp__L_c,MNXM741553,L-Tryptophan
M_Sfglutth_c,MNXM741595,S-Formylglutathione
M_uamag_c,MNXM741611,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
M_23doguln_c,MNXM741619,"2,3-Dioxo-L-gulonate"
M_phe__L_c,MNXM741664,L-Phenylalanine
M_g3ps_c,MNXM741693,Glycerophosphoserine
M_cbm_c,MNXM742,Carbamate
M_dmso_c,MNXM745,Dimethyl sulfoxide
M_acald_c,MNXM75,Acetaldehyde
M_octa_c,MNXM750,Octanoate (n-C8:0)
M_phhlipa_c,MNXM75132,Phospho-heptosyl-heptosyl-kdo2-lipidA
M_phphhlipa_c,MNXM75133,Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
M_phthr_c,MNXM759,O-Phospho-4-hydroxy-L-threonine
M_tyr__L_c,MNXM76,L-Tyrosine
M_csn_c,MNXM761,Cytosine
M_ps120_c,MNXM7659,"Phosphatidylserine (didodecanoyl, n-C12:0)"
M_ps161_c,MNXM7660,"Phosphatidylserine (dihexadec-9-enoyl, n-C16:1)"
M_ps181_c,MNXM7662,"Phosphatidylserine (dioctadec-11-enoyl, n-C18:1)"
M_ps141_c,MNXM7664,"Phosphatidylserine (ditetradec-7-enoyl, n-C14:1)"
M_ps140_c,MNXM7665,"Phosphatidylserine (ditetradecanoyl, n-C14:0)"
M_dhap_c,MNXM77,Dihydroxyacetone phosphate
M_tartr__D_c,MNXM7948,D-tartrate
M_ichor_c,MNXM799,Isochorismate
M_nad_c,MNXM8,Nicotinamide adenine dinucleotide
M_23dhdp_c,MNXM807,"2,3-Dihydrodipicolinate"
M_ragund_c,MNXM80754,Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
M_octdp_c,MNXM811,All-trans-Octaprenyl diphosphate
M_acorn_c,MNXM817,N2-Acetyl-L-ornithine
M_suchms_c,MNXM820,O-Succinyl-L-homoserine
M_ppal_c,MNXM821,Propanal
M_dhpppn_c,MNXM826,"3-(2,3-Dihydroxyphenyl)propanoate"
M_4crsol_c,MNXM828,P-Cresol
M_ipdp_c,MNXM83,Isopentenyl diphosphate
M_bglycogen_c,MNXM8348,Branching glycogen
M_5dh4dglc_c,MNXM854,5-Dehydro-4-deoxy-D-glucarate
M_murein5px4px4p_c,MNXM87121,Three disacharide linked murein units (pentapeptide crosslinked tetrapeptide (A2pm->D-ala) tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)
M_murein4px4p4p_c,MNXM87122,"Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain)"
M_3hpp_c,MNXM872,3-Hydroxypropanoate
M_enter_c,MNXM883,Enterochelin
M_murein5px4p_c,MNXM88338,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
M_murein3px4p_c,MNXM88341,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
M_murein3px3p_c,MNXM88342,"Two disacharide linked murein units, tripeptide crosslinked tripeptide (A2pm->A2pm) (middle of chain)"
M_glyc_c,MNXM89612,Glycerol
M_icit_c,MNXM89661,Isocitrate
M_pi_c,MNXM9,Phosphate
M_chol_c,MNXM90,Choline
M_ru5p__L_c,MNXM901,L-Ribulose 5-phosphate
M_mnl1p_c,MNXM90126,D-Mannitol 1-phosphate
M_2dh3dgal6p_c,MNXM90136,2-Dehydro-3-deoxy-D-galactonate 6-phosphate
M_12ppd__R_c,MNXM90191,"(R)-Propane-1,2-diol"
M_2ombzl_c,MNXM90444,"2-Octaprenyl-6-methoxy-1,4-benzoquinol"
M_pa120_c,MNXM90509,"1,2-didodecanoyl-sn-glycerol 3-phosphate"
M_pa161_c,MNXM90510,"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate"
M_pa181_c,MNXM90511,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate"
M_pa141_c,MNXM90512,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate"
M_anhm_c,MNXM90585,"1,6-anhydrous-N-Acetylmuramate"
M_uLa4n_c,MNXM90891,Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose
M_lald__D_c,MNXM909,D-Lactaldehyde
M_cobalt2_e,MNXM90960,Co2+
M_1tdec7eg3p_c,MNXM91053,1-tetradec-7-enoyl-sn-glycerol 3-phosphate
M_cysi__L_c,MNXM927,L Cystine
M_din_c,MNXM935,Deoxyinosine
M_25dkglcn_c,MNXM936,"2,5-diketo-D-gluconate"
M_mdhdhf_c,MNXM9407,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
M_15dap_c,MNXM943,"1,5-Diaminopentane"
M_k_c,MNXM95,Potassium
M_1agpe181_c,MNXM9584,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
M_2dhp_c,MNXM959,2-Dehydropantoate
M_4mpetz_c,MNXM960,4-Methyl-5-(2-phosphoethyl)-thiazole
M_4mhetz_c,MNXM962,4-Methyl-5-(2-hydroxyethyl)-thiazole
M_5dglcn_c,MNXM963,5-Dehydro-D-gluconate
M_aso4_c,MNXM970,Arsenate
M_ttrcyc_c,MNXM97613,Tetracycline
M_h2o_c,WATER,H2O
